 __future__
 _thread
 aifc
 argparse
 array
 ast
 asynchat
 asyncio
 asyncore
 audioop
 base64
 bdb
 binhex
 bisect
 builtins
 bz2
 cProfile
 calendar
 cgi
 cgitb
 chunk
 cmath
 cmd
 code
 codecs
 codeop
 collections
 collections.abc
 colorsys
 compileall
 concurrent
 concurrent.futures
 configparser
 contextvars
 copy
 copyreg
 crypt
 csv
 ctypes
 curses
 curses.ascii
 curses.panel
 curses.textpad
 datetime
 dbm
 decimal
 difflib
 dis
 distutils
 doctest
 dummy_threading
 email
 ensurepip
 enum
 errno
 faulthandler
 filecmp
 fileinput
 fnmatch
 formatter
 fractions
 ftplib
 functools
 gc
 getopt
 getpass
 gettext
 glob
 gzip
 hashlib
 heapq
 hmac
 html
 html.entities
 html.parser
 http
 http.client
 http.cookiejar
 http.cookies
 http.server
 idlelib
 imaplib
 imghdr
 imp
 importlib
 importlib.metadata
 inspect
 io
 ipaddress
 itertools
 json
 keyword
 linecache
 locale
 logging
 logging.config
 logging.handlers
 lzma
 mailbox
 mailcap
 marshal
 math
 mimetypes
 modulefinder
 msilib
 msvcrt
 multiprocessing
 multiprocessing.shared_memory
 netrc
 nntplib
 numbers
 operator
 os
 os.path
 parser
 pathlib
 pdb
 pickle
 pickletools
 pipes
 pkgutil
 platform
 plistlib
 poplib
 pprint
 profile
 pstats
 pty
 py_compile
 pyclbr
 pydoc
 queue
 quopri
 random
 re
 readline
 reprlib
 rlcompleter
 runpy
 sched
 secrets
 select
 selectors
 shelve
 shlex
 shutil
 signal
 site
 smtpd
 smtplib
 sndhdr
 socket
 socketserver
 sqlite3
 ssl
 stat
 statistics
 string
 stringprep
 struct
 subprocess
 sunau
 symbol
 symtable
 sys
 sysconfig
 tabnanny
 tarfile
 telnetlib
 tempfile
 test
 test.support
 test.support.script_helper
 textwrap
 threading
 time
 timeit
 tkinter
 tkinter.scrolledtext
 tkinter.tix
 tkinter.ttk
 token
 tokenize
 trace
 tracemalloc
 tty
 turtle
 types
 unicodedata
 unittest
 unittest.mock
 urllib
 urllib.error
 urllib.parse
 urllib.request
 urllib.response
 urllib.robotparser
 uu
 uuid
 venv
 wave
 weakref
 webbrowser
 winreg
 winsound
 wsgiref
 xdrlib
 xml
 xml.dom
 xml.dom.minidom
 xml.dom.pulldom
 xml.etree.ElementTree
 xml.parsers.expat
 xml.sax
 xml.sax.handler
 xml.sax.saxutils
 xml.sax.xmlreader
 xmlrpc
 xmlrpc.client
 xmlrpc.server
 zipfile
 zipimport
 zlib
_dummy_thread
